ticker,regime,kind,dt,fwd1d,fwd3d,fwd5d
CGNX,BEAR,H_UP,2025-01-03T14:30:00,1.048,3.49,1.89
CGNX,BEAR,CTRL,2025-01-03T15:30:00,1.049,3.504,2.649
CGNX,BEAR,CTRL,2025-01-06T14:30:00,2.102,0.382,5.16
CGNX,BEAR,CTRL,2025-01-07T13:30:00,0.807,-0.968,3.658
CGNX,BEAR,CTRL,2025-01-08T12:30:00,0.054,2.862,4.387
CGNX,BEAR,CTRL,2025-01-10T11:30:00,0.054,2.759,6.703
CGNX,BEAR,H_DOWN,2025-01-10T13:30:00,-0.379,4.275,7.332
CGNX,BEAR,CTRL,2025-01-13T10:30:00,2.602,5.407,10.572
CGNX,BEAR,CTRL,2025-01-14T09:30:00,2.0,4.289,8.013
CGNX,BEAR,CTRL,2025-01-14T15:30:00,-0.052,3.008,4.694
CGNX,BEAR,H_UP,2025-01-15T14:30:00,1.815,7.078,4.485
CGNX,BEAR,CTRL,2025-01-16T13:30:00,1.302,4.188,3.652
CGNX,BEAR,CTRL,2025-01-17T12:30:00,4.644,1.898,-0.114
CGNX,BEAR,CTRL,2025-01-21T11:30:00,-0.942,-1.402,-5.135
CGNX,BEAR,CTRL,2025-01-22T10:30:00,-1.507,-3.841,-4.23
CGNX,BEAR,CTRL,2025-01-23T09:30:00,1.029,-2.97,-1.326
CGNX,BEAR,CTRL,2025-01-23T15:30:00,0.025,-2.097,-2.072
CGNX,BEAR,CTRL,2025-01-24T14:30:00,-3.677,-3.136,-1.869
CGNX,BEAR,CTRL,2025-01-27T13:30:00,0.178,1.056,-0.28
CGNX,BEAR,CTRL,2025-01-28T12:30:00,0.446,3.082,-1.312
CGNX,BEAR,H_DOWN,2025-01-28T14:30:00,-0.606,0.694,-2.915
CGNX,BEAR,CTRL,2025-01-29T11:30:00,1.496,-0.964,-1.674
CGNX,BEAR,CTRL,2025-01-30T10:30:00,0.859,-3.175,-3.816
CGNX,BEAR,CTRL,2025-01-31T09:30:00,-2.646,-4.731,-4.422
CGNX,BEAR,CTRL,2025-01-31T15:30:00,-2.297,-2.382,-4.162
CGNX,BEAR,H_UP,2025-02-03T10:30:00,-0.499,-1.158,-1.267
CGNX,BEAR,CTRL,2025-02-03T14:30:00,-1.422,-1.294,0.692
CGNX,BEAR,CTRL,2025-02-04T13:30:00,-0.323,-2.297,1.896
CGNX,BEAR,CTRL,2025-02-05T12:30:00,0.181,0.621,0.828
CGNX,BEAR,CTRL,2025-02-06T11:30:00,-1.907,1.856,-13.325
CGNX,BEAR,H_DOWN,2025-02-06T14:30:00,-0.987,3.245,-12.891
CGNX,BEAR,CTRL,2025-02-07T10:30:00,0.718,1.697,-14.67
CGNX,BEAR,CTRL,2025-02-10T09:30:00,1.922,-12.349,-15.885
CGNX,BEAR,H_DOWN,2025-02-10T11:30:00,2.176,-13.052,-14.216
CGNX,BEAR,CTRL,2025-02-10T15:30:00,0.545,-14.333,-16.259
CGNX,BEAR,CTRL,2025-02-11T14:30:00,-1.106,-17.314,-14.9
CGNX,BEAR,CTRL,2025-02-12T13:30:00,-16.496,-16.279,-15.385
CGNX,BEAR,H_UP,2025-02-12T14:30:00,-14.685,-16.491,-15.524
CGNX,BEAR,CTRL,2025-02-13T12:30:00,-0.304,2.39,-1.02
CGNX,BEAR,CTRL,2025-02-14T11:30:00,1.592,2.817,0.092
CGNX,BEAR,H_DOWN,2025-02-14T15:30:00,-0.392,0.724,-0.995
CGNX,BEAR,CTRL,2025-02-18T10:30:00,0.21,-1.729,-0.722
CGNX,BEAR,CTRL,2025-02-19T09:30:00,-0.24,-2.635,-0.629
CGNX,BEAR,CTRL,2025-02-19T15:30:00,-0.625,-2.32,-1.309
